Source,Target,Weight,Type
Collins_HG1,Collins_HG2,5,undirected
Collins_HG1,Collins_HG3,6,undirected
Collins_HG1,Riordan_PJ2,1,undirected
Collins_HG2,Collins_HG1,5,undirected
Collins_HG2,Collins_HG3,4,undirected
Collins_HG2,Riordan_PJ1,1,undirected
Collins_HG3,Collins_HG1,6,undirected
Collins_HG3,Collins_HG2,4,undirected
Collins_HG3,Riordan_PJ2,1,undirected
Galbraith_Cuckoo,Rowling_HP5,2,undirected
Galbraith_Cuckoo,Rowling_HP6,3,undirected
Galbraith_Cuckoo,Rowling_HP7,1,undirected
Galbraith_Cuckoo,Rowling_Leopard,2,undirected
Riordan_PJ1,Collins_HG2,1,undirected
Riordan_PJ1,Riordan_PJ2,2,undirected
Riordan_PJ1,Riordan_PJ3,6,undirected
Riordan_PJ1,Riordan_PJ5,3,undirected
Riordan_PJ1,Rowling_Leopard,3,undirected
Riordan_PJ2,Collins_HG1,1,undirected
Riordan_PJ2,Collins_HG3,1,undirected
Riordan_PJ2,Riordan_PJ1,2,undirected
Riordan_PJ2,Riordan_PJ4,4,undirected
Riordan_PJ2,Riordan_PJ5,5,undirected
Riordan_PJ3,Riordan_PJ1,6,undirected
Riordan_PJ3,Riordan_PJ4,3,undirected
Riordan_PJ3,Riordan_PJ5,1,undirected
Riordan_PJ4,Riordan_PJ2,4,undirected
Riordan_PJ4,Riordan_PJ3,3,undirected
Riordan_PJ4,Riordan_PJ5,6,undirected
Riordan_PJ5,Riordan_PJ1,3,undirected
Riordan_PJ5,Riordan_PJ2,5,undirected
Riordan_PJ5,Riordan_PJ3,1,undirected
Riordan_PJ5,Riordan_PJ4,6,undirected
Rowling_HP1,Rowling_HP2,4,undirected
Rowling_HP1,Rowling_HP3,3,undirected
Rowling_HP1,Rowling_HP5,1,undirected
Rowling_HP2,Rowling_HP1,4,undirected
Rowling_HP2,Rowling_HP3,6,undirected
Rowling_HP2,Rowling_HP4,3,undirected
Rowling_HP3,Rowling_HP1,3,undirected
Rowling_HP3,Rowling_HP2,6,undirected
Rowling_HP3,Rowling_HP4,4,undirected
Rowling_HP4,Rowling_HP2,3,undirected
Rowling_HP4,Rowling_HP3,4,undirected
Rowling_HP4,Rowling_HP5,6,undirected
Rowling_HP4,Rowling_HP6,1,undirected
Rowling_HP4,Rowling_HP7,1,undirected
Rowling_HP5,Galbraith_Cuckoo,2,undirected
Rowling_HP5,Rowling_HP1,1,undirected
Rowling_HP5,Rowling_HP4,6,undirected
Rowling_HP5,Rowling_HP6,5,undirected
Rowling_HP5,Rowling_HP7,4,undirected
Rowling_HP6,Galbraith_Cuckoo,3,undirected
Rowling_HP6,Rowling_HP4,1,undirected
Rowling_HP6,Rowling_HP5,5,undirected
Rowling_HP6,Rowling_HP7,4,undirected
Rowling_HP7,Galbraith_Cuckoo,1,undirected
Rowling_HP7,Rowling_HP4,1,undirected
Rowling_HP7,Rowling_HP5,4,undirected
Rowling_HP7,Rowling_HP6,4,undirected
Rowling_HP7,Rowling_Leopard,1,undirected
Rowling_Leopard,Galbraith_Cuckoo,2,undirected
Rowling_Leopard,Riordan_PJ1,3,undirected
Rowling_Leopard,Rowling_HP7,1,undirected
